id_analise,data_hora,nome_arquivo,caminho_imagem,resultado,probabilidade_real,probabilidade_ia,confianca,modelo_utilizado,relatorio_json,relatorio_txt,historico_habilitado,imagem_mantida_no_historico
AIDA-2026-0001,2026-06-02 09:26:36,real1.png,dataset\reais\real1.png,REAL,0.910000,0.090000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0001.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0001.txt,True,True
AIDA-2026-0002,2026-06-02 09:27:43,ia1.png,dataset\ia\ia1.png,IA/MANIPULADA,0.040000,0.960000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0002.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0002.txt,True,True
AIDA-2026-0003,2026-06-02 09:31:39,real2.png,dataset\reais\real2.png,REAL,0.815000,0.185000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0003.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0003.txt,True,True
AIDA-2026-0004,2026-06-02 09:31:48,real3.png,dataset\reais\real3.png,REAL,0.777500,0.222500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0004.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0004.txt,True,True
AIDA-2026-0005,2026-06-02 09:31:57,real4.png,dataset\reais\real4.png,REAL,0.720000,0.280000,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0005.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0005.txt,True,True
AIDA-2026-0006,2026-06-02 09:32:04,real5.png,dataset\reais\real5.png,REAL,0.620000,0.380000,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0006.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0006.txt,True,True
AIDA-2026-0007,2026-06-02 09:35:14,real25.jpg,dataset\reais\real25.jpg,REAL,0.787500,0.212500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0007.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0007.txt,True,True
AIDA-2026-0008,2026-06-02 09:35:16,real26.jpg,dataset\reais\real26.jpg,REAL,0.652500,0.347500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0008.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0008.txt,True,True
AIDA-2026-0009,2026-06-02 09:35:18,real27.jpg,dataset\reais\real27.jpg,REAL,0.720000,0.280000,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0009.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0009.txt,True,True
AIDA-2026-0010,2026-06-02 09:35:21,real28.jpg,dataset\reais\real28.jpg,REAL,0.772500,0.227500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0010.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0010.txt,True,True
